name,birthday
Tim Robbins,1958-10-16
Morgan Freeman,1937-06-01
Leonardo DiCaprio,1974-11-11
Joseph Gordon-Levitt,1981-02-17
Christian Bale,1974-01-30
Heath Ledger,1979-04-04
John Travolta,1954-02-18
Samuel L. Jackson,1948-12-21
Brad Pitt,1963-12-18
Edward Norton,1969-08-18
Tom Hanks,1956-07-09
Robin Wright,1966-04-08
Keanu Reeves,1964-09-02
Carrie-Anne Moss,1967-08-21
Matthew McConaughey,1969-11-04
Anne Hathaway,1982-11-12
Song Kang-ho,1967-01-17
Choi Woo-shik,1990-03-26
Marlon Brando,1924-04-03
Al Pacino,1940-04-25
Russell Crowe,1964-04-07
Joaquin Phoenix,1974-10-28
Leonardo DiCaprio,1974-11-11
Kate Winslet,1975-10-05
Robert Downey Jr.,1965-04-04
Chris Evans,1981-06-13
Sam Neill,1947-09-14
Laura Dern,1967-02-10
Matthew Broderick,1962-03-21
James Earl Jones,1931-01-17
Tom Hanks,1956-07-09
Tim Allen,1953-06-13
Jesse Eisenberg,1983-10-05
Andrew Garfield,1983-08-20
Ryan Gosling,1980-11-12
Emma Stone,1988-11-06
Miles Teller,1987-02-20
J.K. Simmons,1955-01-09
Chadwick Boseman,1976-11-29
Michael B. Jordan,1987-02-09
