name,birthday
Frank Darabont,1959-01-28
Christopher Nolan,1970-07-30
Quentin Tarantino,1963-03-27
David Fincher,1962-08-28
Robert Zemeckis,1952-05-14
Lana Wachowski,1965-06-21
Lilly Wachowski,1967-12-29
Bong Joon-ho,1969-09-14
Francis Ford Coppola,1939-04-07
Ridley Scott,1937-11-30
James Cameron,1954-08-16
Anthony Russo,1970-02-03
Joe Russo,1971-07-08
Steven Spielberg,1946-12-18
Roger Allers,1949-06-29
Rob Minkoff,1962-08-11
John Lasseter,1957-01-12
David Fincher,1962-08-28
Damien Chazelle,1985-01-19
Ryan Coogler,1986-05-23
